item_number	title	condition	description	email	type	card_count	platform	media
1	The New Tetris	Like New	H2O Entertainment   	usr001@gt.edu	Video Game		Nintendo	Optical disc
2	Oh Hell (3-7 players)	Unopened		usr001@gt.edu	Playing Card Game			
3	"Imajica	"	Damaged/Missing parts	Harper Prism/Clive Barker   	usr001@gt.edu	Collectible Card Game	86		
4	Brawlhalla	Lightly Used	Blue Mammoth Games   Ubisoft	usr002@gt.edu	Computer Game		macOS	
5	The Great Battles of Alexander the Great	Damaged/Missing parts	GMT Games  1991	usr002@gt.edu	Board Game			
6	Postal	Lightly Used	Running with Scissors	usr002@gt.edu	Computer Game		macOS	
7	Major League Baseball 2K6	Heavily Used	Sports   Visual Concepts	usr002@gt.edu	Video Game		Xbox	Optical disc
8	S.T.A.L.K.E.R.: Shadow of Chernobyl	Like New	GSC Game World   THQ	usr002@gt.edu	Computer Game		Windows	
9	Joe Danger	Damaged/Missing parts	Hello Games   January 26, 2012	usr002@gt.edu	Video Game		PlayStation	Optical disc
10	Aces of the Galaxy	Moderately Used		usr003@gt.edu	Computer Game		Windows	
11	Metro: Last Light	Lightly Used	Survival Horror, First-person Shooter   4A Games	usr003@gt.edu	Video Game		Xbox	Optical disc
12	Betrayal at Krondor	Like New	Dynamix   Dynamix, Activision, Sierra Entertainment	usr003@gt.edu	Computer Game		macOS	
13	Planetary Annihilation	Unopened	Uber Entertainment	usr003@gt.edu	Computer Game		macOS	
14	Madden NFL 11	Like New	Sports   EA Tiburon	usr003@gt.edu	Video Game		Xbox	Optical disc
15	Dragon Ball Super Card Game 	Lightly Used	Bandai   	usr004@gt.edu	Collectible Card Game	757		
16	A Bastard's Tale	Damaged/Missing parts	No Pest Productions	usr004@gt.edu	Computer Game		Linux	
17	Tempest of the Gods 	Like New	Black Dragon Press   	usr004@gt.edu	Collectible Card Game	648		
18	Europa Universalis	Moderately Used	Paradox Development Studio   Strategy First	usr005@gt.edu	Computer Game		macOS	
19	Avalanche Software	Damaged/Missing parts	Midway Home EntertainmentNA   	usr005@gt.edu	Video Game		Nintendo	Optical disc
20	Monopoly Streets	Damaged/Missing parts	Board game   Electronic Arts	usr005@gt.edu	Video Game		Xbox	Optical disc
21	NFL Blitz 2000	Moderately Used		usr005@gt.edu	Video Game		Nintendo	Game card
22	The Maw	Damaged/Missing parts	Action & Adventure   Twisted Pixel Games	usr005@gt.edu	Video Game		Xbox	Optical disc
23	Bridge (4 players)	Like New	The ultimate classic among trick-taking card games. It is played in partnerships, and gives much room for much skilful play	usr005@gt.edu	Playing Card Game			
24	Battlefield 1942: The Road to Rome	Lightly Used	Digital Illusions CE   Electronic Arts	usr005@gt.edu	Computer Game		Windows	
25	Wheels of Aurelia	Damaged/Missing parts	Santa Ragione S.r.l.	usr005@gt.edu	Computer Game		Windows	
26	Battlefield 1942: Secret Weapons of WWII	Heavily Used	Digital Illusions CE   Electronic Arts	usr005@gt.edu	Computer Game		macOS	
