proposer_item_no,counterparty_item_no,proposer_email,counterparty_email,proposed_date,accept_reject_date,status,trade_history_link,auto_trade_id
1,1215,usr001@gt.edu,usr164@gt.edu,2022-04-18,,unacccepted,placeholder.com,1
3,632,usr001@gt.edu,usr086@gt.edu,2022-05-05,2022-06-06,rejected,placeholder.com,2
5,7067,usr002@gt.edu,usr952@gt.edu,2022-05-12,2022-05-16,accepted,placeholder.com,3
7,5136,usr002@gt.edu,usr692@gt.edu,2022-04-28,2022-05-06,accepted,placeholder.com,4
8,3579,usr002@gt.edu,usr486@gt.edu,2022-04-20,,unacccepted,placeholder.com,5
9,5446,usr002@gt.edu,usr735@gt.edu,2022-04-18,2022-04-19,rejected,placeholder.com,6
9,7157,usr002@gt.edu,usr964@gt.edu,2022-04-19,2022-04-20,accepted,placeholder.com,7
13,4877,usr003@gt.edu,usr658@gt.edu,2022-04-21,,unacccepted,placeholder.com,8
14,1529,usr003@gt.edu,usr204@gt.edu,2022-04-15,2022-06-13,rejected,placeholder.com,9
16,3300,usr004@gt.edu,usr445@gt.edu,2022-05-30,,unacccepted,placeholder.com,10
16,7375,usr004@gt.edu,usr994@gt.edu,2022-04-18,2022-05-18,rejected,placeholder.com,11
17,249,usr004@gt.edu,usr036@gt.edu,2022-04-15,2022-04-25,rejected,placeholder.com,12
17,826,usr004@gt.edu,usr109@gt.edu,2022-05-02,2022-05-30,accepted,placeholder.com,13
24,2900,usr005@gt.edu,usr389@gt.edu,2022-05-02,2022-05-06,rejected,placeholder.com,14
32,6717,usr006@gt.edu,usr905@gt.edu,2022-04-28,2022-06-09,accepted,placeholder.com,15
33,3281,usr006@gt.edu,usr443@gt.edu,2022-04-15,2022-04-26,rejected,placeholder.com,16
34,6746,usr006@gt.edu,usr910@gt.edu,2022-05-20,2022-06-09,accepted,placeholder.com,17
38,1687,usr007@gt.edu,usr223@gt.edu,2022-04-25,2022-05-06,accepted,placeholder.com,18
41,7300,usr007@gt.edu,usr985@gt.edu,2022-04-18,2022-04-22,accepted,placeholder.com,19
42,859,usr007@gt.edu,usr114@gt.edu,2022-05-04,,unacccepted,placeholder.com,20
43,1566,usr007@gt.edu,usr208@gt.edu,2022-04-29,2022-05-04,rejected,placeholder.com,21
45,1760,usr007@gt.edu,usr236@gt.edu,2022-05-09,,unacccepted,placeholder.com,22
47,3156,usr008@gt.edu,usr421@gt.edu,2022-04-22,,unacccepted,placeholder.com,23
48,1937,usr008@gt.edu,usr260@gt.edu,2022-04-20,2022-04-26,rejected,placeholder.com,24
50,6661,usr008@gt.edu,usr898@gt.edu,2022-05-03,2022-05-16,accepted,placeholder.com,25
51,2618,usr008@gt.edu,usr355@gt.edu,2022-04-26,2022-06-08,accepted,placeholder.com,26
51,5077,usr008@gt.edu,usr683@gt.edu,2022-04-19,2022-04-26,rejected,placeholder.com,27
55,437,usr008@gt.edu,usr059@gt.edu,2022-05-18,2022-06-10,rejected,placeholder.com,28
60,5196,usr009@gt.edu,usr702@gt.edu,2022-04-15,2022-05-12,accepted,placeholder.com,29
63,978,usr009@gt.edu,usr132@gt.edu,2022-04-18,2022-05-12,accepted,placeholder.com,30
64,1163,usr009@gt.edu,usr157@gt.edu,2022-04-27,,unacccepted,placeholder.com,31
66,3217,usr009@gt.edu,usr431@gt.edu,2022-05-05,2022-05-13,accepted,placeholder.com,32
69,5725,usr010@gt.edu,usr770@gt.edu,2022-05-10,2022-06-01,accepted,placeholder.com,33
74,591,usr010@gt.edu,usr081@gt.edu,2022-04-19,2022-05-02,rejected,placeholder.com,34
81,4829,usr011@gt.edu,usr652@gt.edu,2022-04-25,,unacccepted,placeholder.com,35
82,333,usr011@gt.edu,usr048@gt.edu,2022-05-17,,unacccepted,placeholder.com,36
85,7209,usr011@gt.edu,usr972@gt.edu,2022-05-10,2022-05-11,accepted,placeholder.com,37
87,624,usr012@gt.edu,usr085@gt.edu,2022-05-12,,unacccepted,placeholder.com,38
87,5462,usr012@gt.edu,usr737@gt.edu,2022-04-21,2022-04-22,rejected,placeholder.com,39
90,1271,usr013@gt.edu,usr172@gt.edu,2022-05-03,2022-06-03,accepted,placeholder.com,40
90,2185,usr013@gt.edu,usr294@gt.edu,2022-04-28,2022-05-03,rejected,placeholder.com,41
