item_number,email,platform
4,usr002@gt.edu,macOS
6,usr002@gt.edu,macOS
8,usr002@gt.edu,Windows
10,usr003@gt.edu,Windows
12,usr003@gt.edu,macOS
13,usr003@gt.edu,macOS
16,usr004@gt.edu,Linux
18,usr005@gt.edu,macOS
24,usr005@gt.edu,Windows
25,usr005@gt.edu,Windows
26,usr005@gt.edu,macOS
27,usr006@gt.edu,Windows
30,usr006@gt.edu,Windows
35,usr006@gt.edu,Windows
37,usr007@gt.edu,macOS
39,usr007@gt.edu,macOS
40,usr007@gt.edu,macOS
43,usr007@gt.edu,Windows
44,usr007@gt.edu,Windows
48,usr008@gt.edu,Windows
54,usr008@gt.edu,macOS
58,usr009@gt.edu,Windows
60,usr009@gt.edu,macOS
62,usr009@gt.edu,macOS
64,usr009@gt.edu,macOS
70,usr010@gt.edu,Linux
71,usr010@gt.edu,Windows
72,usr010@gt.edu,Windows
73,usr010@gt.edu,macOS
82,usr011@gt.edu,macOS
84,usr011@gt.edu,Windows
85,usr011@gt.edu,macOS
87,usr012@gt.edu,Linux
89,usr012@gt.edu,macOS
91,usr013@gt.edu,macOS
94,usr014@gt.edu,Windows
95,usr014@gt.edu,Linux
96,usr014@gt.edu,Windows
97,usr014@gt.edu,Windows
99,usr014@gt.edu,macOS
101,usr014@gt.edu,Windows
103,usr014@gt.edu,Windows
104,usr014@gt.edu,Windows
111,usr015@gt.edu,macOS
113,usr015@gt.edu,Windows
121,usr017@gt.edu,Windows
123,usr017@gt.edu,Linux
125,usr018@gt.edu,macOS
129,usr018@gt.edu,macOS
130,usr018@gt.edu,Windows
135,usr018@gt.edu,Windows
139,usr020@gt.edu,Windows
145,usr021@gt.edu,Windows
147,usr021@gt.edu,macOS
149,usr022@gt.edu,Windows
150,usr022@gt.edu,macOS
156,usr023@gt.edu,Windows
157,usr024@gt.edu,Windows
158,usr024@gt.edu,Windows
159,usr024@gt.edu,macOS
163,usr024@gt.edu,Windows
164,usr024@gt.edu,Windows
165,usr024@gt.edu,Windows
166,usr024@gt.edu,Linux
167,usr024@gt.edu,macOS
172,usr025@gt.edu,macOS
173,usr026@gt.edu,Windows
180,usr027@gt.edu,Windows
185,usr028@gt.edu,Windows
186,usr028@gt.edu,Windows
187,usr028@gt.edu,Windows
188,usr028@gt.edu,Windows
189,usr028@gt.edu,Windows
191,usr028@gt.edu,Windows
192,usr029@gt.edu,Windows
200,usr030@gt.edu,Windows
203,usr030@gt.edu,Windows
206,usr030@gt.edu,Linux
215,usr031@gt.edu,macOS
220,usr032@gt.edu,macOS
222,usr033@gt.edu,Windows
224,usr033@gt.edu,macOS
228,usr034@gt.edu,Windows
230,usr034@gt.edu,Windows
236,usr035@gt.edu,Windows
241,usr035@gt.edu,Windows
243,usr036@gt.edu,macOS
244,usr036@gt.edu,Windows
245,usr036@gt.edu,Windows
246,usr036@gt.edu,Windows
249,usr036@gt.edu,Windows
250,usr037@gt.edu,Windows
252,usr037@gt.edu,macOS
254,usr038@gt.edu,macOS
257,usr038@gt.edu,macOS
259,usr038@gt.edu,Windows
263,usr038@gt.edu,Windows
264,usr038@gt.edu,Linux
269,usr039@gt.edu,Linux
274,usr039@gt.edu,Windows
275,usr040@gt.edu,macOS
279,usr040@gt.edu,macOS
281,usr040@gt.edu,macOS
282,usr041@gt.edu,Windows
