item_number,email,card_count
3,usr001@gt.edu,86
15,usr004@gt.edu,757
17,usr004@gt.edu,648
29,usr006@gt.edu,408
41,usr007@gt.edu,423
46,usr008@gt.edu,131
56,usr008@gt.edu,578
59,usr009@gt.edu,246
78,usr011@gt.edu,163
79,usr011@gt.edu,500
83,usr011@gt.edu,144
102,usr014@gt.edu,718
112,usr015@gt.edu,278
117,usr016@gt.edu,699
119,usr016@gt.edu,188
128,usr018@gt.edu,718
136,usr019@gt.edu,123
137,usr019@gt.edu,468
140,usr020@gt.edu,646
143,usr021@gt.edu,699
144,usr021@gt.edu,36
151,usr022@gt.edu,231
155,usr023@gt.edu,571
177,usr026@gt.edu,86
179,usr026@gt.edu,341
181,usr027@gt.edu,387
194,usr029@gt.edu,110
195,usr029@gt.edu,347
201,usr030@gt.edu,629
202,usr030@gt.edu,542
205,usr030@gt.edu,175
218,usr031@gt.edu,212
219,usr032@gt.edu,341
221,usr032@gt.edu,206
225,usr033@gt.edu,123
227,usr034@gt.edu,268
229,usr034@gt.edu,145
231,usr035@gt.edu,411
234,usr035@gt.edu,751
238,usr035@gt.edu,664
240,usr035@gt.edu,163
242,usr036@gt.edu,36
247,usr036@gt.edu,245
255,usr038@gt.edu,403
256,usr038@gt.edu,585
262,usr038@gt.edu,27
267,usr039@gt.edu,241
268,usr039@gt.edu,282
272,usr039@gt.edu,657
278,usr040@gt.edu,500
280,usr040@gt.edu,599
298,usr043@gt.edu,212
299,usr043@gt.edu,144
308,usr044@gt.edu,706
309,usr044@gt.edu,734
310,usr044@gt.edu,80
315,usr045@gt.edu,313
322,usr046@gt.edu,202
324,usr047@gt.edu,278
344,usr049@gt.edu,583
348,usr049@gt.edu,160
355,usr050@gt.edu,211
358,usr050@gt.edu,194
359,usr050@gt.edu,140
363,usr051@gt.edu,282
371,usr052@gt.edu,266
372,usr052@gt.edu,433
373,usr052@gt.edu,42
407,usr056@gt.edu,249
417,usr057@gt.edu,177
420,usr057@gt.edu,724
424,usr058@gt.edu,733
426,usr058@gt.edu,718
427,usr058@gt.edu,242
440,usr060@gt.edu,595
451,usr061@gt.edu,147
456,usr062@gt.edu,681
461,usr063@gt.edu,142
465,usr063@gt.edu,606
471,usr064@gt.edu,583
473,usr065@gt.edu,751
477,usr065@gt.edu,140
482,usr066@gt.edu,606
483,usr066@gt.edu,121
486,usr066@gt.edu,369
489,usr067@gt.edu,493
490,usr067@gt.edu,646
491,usr067@gt.edu,757
492,usr067@gt.edu,497
493,usr067@gt.edu,258
495,usr067@gt.edu,674
498,usr067@gt.edu,165
507,usr069@gt.edu,258
508,usr069@gt.edu,745
512,usr069@gt.edu,166
514,usr069@gt.edu,314
524,usr072@gt.edu,610
534,usr074@gt.edu,169
535,usr074@gt.edu,86
536,usr074@gt.edu,310
538,usr075@gt.edu,10
540,usr075@gt.edu,259
541,usr075@gt.edu,745
543,usr076@gt.edu,610
549,usr076@gt.edu,121
560,usr078@gt.edu,495
564,usr079@gt.edu,177
568,usr079@gt.edu,10
574,usr080@gt.edu,245
585,usr081@gt.edu,63
589,usr081@gt.edu,121
594,usr081@gt.edu,317
596,usr082@gt.edu,513
610,usr083@gt.edu,648
617,usr084@gt.edu,706
620,usr084@gt.edu,268
624,usr085@gt.edu,369
626,usr085@gt.edu,709
628,usr085@gt.edu,72
630,usr085@gt.edu,318
634,usr086@gt.edu,717
643,usr087@gt.edu,163
644,usr087@gt.edu,234
646,usr087@gt.edu,415
647,usr087@gt.edu,693
652,usr088@gt.edu,369
659,usr088@gt.edu,405
667,usr089@gt.edu,657
672,usr090@gt.edu,242
676,usr090@gt.edu,225
679,usr090@gt.edu,681
680,usr090@gt.edu,313
683,usr091@gt.edu,242
702,usr093@gt.edu,110
705,usr093@gt.edu,147
707,usr093@gt.edu,334
717,usr094@gt.edu,108
722,usr095@gt.edu,21
732,usr096@gt.edu,497
738,usr097@gt.edu,433
745,usr097@gt.edu,206
748,usr098@gt.edu,438
754,usr098@gt.edu,212
762,usr100@gt.edu,693
777,usr102@gt.edu,83
784,usr103@gt.edu,178
787,usr104@gt.edu,401
793,usr104@gt.edu,282
796,usr105@gt.edu,145
798,usr105@gt.edu,166
803,usr106@gt.edu,669
810,usr108@gt.edu,595
811,usr108@gt.edu,236
813,usr108@gt.edu,83
821,usr109@gt.edu,423
823,usr109@gt.edu,526
831,usr109@gt.edu,509
836,usr111@gt.edu,757
840,usr111@gt.edu,569
855,usr114@gt.edu,547
856,usr114@gt.edu,359
859,usr114@gt.edu,314
860,usr114@gt.edu,646
866,usr114@gt.edu,745
881,usr117@gt.edu,449
887,usr117@gt.edu,145
901,usr119@gt.edu,646
916,usr122@gt.edu,17
917,usr122@gt.edu,443
918,usr122@gt.edu,433
936,usr125@gt.edu,699
938,usr126@gt.edu,214
939,usr126@gt.edu,468
948,usr128@gt.edu,339
962,usr129@gt.edu,580
965,usr129@gt.edu,142
981,usr132@gt.edu,21
984,usr132@gt.edu,751
1004,usr135@gt.edu,663
1008,usr136@gt.edu,464
1012,usr137@gt.edu,734
1014,usr138@gt.edu,147
1018,usr138@gt.edu,177
1020,usr138@gt.edu,475
1021,usr138@gt.edu,163
1022,usr138@gt.edu,207
1023,usr138@gt.edu,677
1025,usr139@gt.edu,142
1026,usr139@gt.edu,317
1031,usr139@gt.edu,17
1037,usr140@gt.edu,225
1049,usr142@gt.edu,497
1053,usr142@gt.edu,709
