proposer_item_no,counterparty_item_no,proposer_email,counterparty_email,proposed_date,accept_reject_date,status,auto_trade_id,proposed_date1,accept_reject_date1
1,1215,usr001@gt.edu,usr164@gt.edu,2022-04-18,NULL,unaccepted,proposer_emailusr001@gt.educounterparty_emailusr164@gt.eduproposer_item_no1counterparty_item_no1215,2022-04-18,NULL
3,632,usr001@gt.edu,usr086@gt.edu,2022-05-05,2022-06-06,rejected,proposer_emailusr001@gt.educounterparty_emailusr086@gt.eduproposer_item_no3counterparty_item_no632,2022-05-05,2022-06-06
5,7067,usr002@gt.edu,usr952@gt.edu,2022-05-12,2022-05-16,accepted,proposer_emailusr002@gt.educounterparty_emailusr952@gt.eduproposer_item_no5counterparty_item_no7067,2022-05-12,2022-05-16
7,5136,usr002@gt.edu,usr692@gt.edu,2022-04-28,2022-05-06,accepted,proposer_emailusr002@gt.educounterparty_emailusr692@gt.eduproposer_item_no7counterparty_item_no5136,2022-04-28,2022-05-06
8,3579,usr002@gt.edu,usr486@gt.edu,2022-04-20,NULL,unaccepted,proposer_emailusr002@gt.educounterparty_emailusr486@gt.eduproposer_item_no8counterparty_item_no3579,2022-04-20,NULL
9,5446,usr002@gt.edu,usr735@gt.edu,2022-04-18,2022-04-19,rejected,proposer_emailusr002@gt.educounterparty_emailusr735@gt.eduproposer_item_no9counterparty_item_no5446,2022-04-18,2022-04-19
9,7157,usr002@gt.edu,usr964@gt.edu,2022-04-19,2022-04-20,accepted,proposer_emailusr002@gt.educounterparty_emailusr964@gt.eduproposer_item_no9counterparty_item_no7157,2022-04-19,2022-04-20
13,4877,usr003@gt.edu,usr658@gt.edu,2022-04-21,NULL,unaccepted,proposer_emailusr003@gt.educounterparty_emailusr658@gt.eduproposer_item_no13counterparty_item_no4877,2022-04-21,NULL
14,1529,usr003@gt.edu,usr204@gt.edu,2022-04-15,2022-06-13,rejected,proposer_emailusr003@gt.educounterparty_emailusr204@gt.eduproposer_item_no14counterparty_item_no1529,2022-04-15,2022-06-13
16,3300,usr004@gt.edu,usr445@gt.edu,2022-05-30,NULL,unaccepted,proposer_emailusr004@gt.educounterparty_emailusr445@gt.eduproposer_item_no16counterparty_item_no3300,2022-05-30,NULL
16,7375,usr004@gt.edu,usr994@gt.edu,2022-04-18,2022-05-18,rejected,proposer_emailusr004@gt.educounterparty_emailusr994@gt.eduproposer_item_no16counterparty_item_no7375,2022-04-18,2022-05-18
17,249,usr004@gt.edu,usr036@gt.edu,2022-04-15,2022-04-25,rejected,proposer_emailusr004@gt.educounterparty_emailusr036@gt.eduproposer_item_no17counterparty_item_no249,2022-04-15,2022-04-25
17,826,usr004@gt.edu,usr109@gt.edu,2022-05-02,2022-05-30,accepted,proposer_emailusr004@gt.educounterparty_emailusr109@gt.eduproposer_item_no17counterparty_item_no826,2022-05-02,2022-05-30
24,2900,usr005@gt.edu,usr389@gt.edu,2022-05-02,2022-05-06,rejected,proposer_emailusr005@gt.educounterparty_emailusr389@gt.eduproposer_item_no24counterparty_item_no2900,2022-05-02,2022-05-06
32,6717,usr006@gt.edu,usr905@gt.edu,2022-04-28,2022-06-09,accepted,proposer_emailusr006@gt.educounterparty_emailusr905@gt.eduproposer_item_no32counterparty_item_no6717,2022-04-28,2022-06-09
33,3281,usr006@gt.edu,usr443@gt.edu,2022-04-15,2022-04-26,rejected,proposer_emailusr006@gt.educounterparty_emailusr443@gt.eduproposer_item_no33counterparty_item_no3281,2022-04-15,2022-04-26
34,6746,usr006@gt.edu,usr910@gt.edu,2022-05-20,2022-06-09,accepted,proposer_emailusr006@gt.educounterparty_emailusr910@gt.eduproposer_item_no34counterparty_item_no6746,2022-05-20,2022-06-09
38,1687,usr007@gt.edu,usr223@gt.edu,2022-04-25,2022-05-06,accepted,proposer_emailusr007@gt.educounterparty_emailusr223@gt.eduproposer_item_no38counterparty_item_no1687,2022-04-25,2022-05-06
41,7300,usr007@gt.edu,usr985@gt.edu,2022-04-18,2022-04-22,accepted,proposer_emailusr007@gt.educounterparty_emailusr985@gt.eduproposer_item_no41counterparty_item_no7300,2022-04-18,2022-04-22
42,859,usr007@gt.edu,usr114@gt.edu,2022-05-04,NULL,unaccepted,proposer_emailusr007@gt.educounterparty_emailusr114@gt.eduproposer_item_no42counterparty_item_no859,2022-05-04,NULL
43,1566,usr007@gt.edu,usr208@gt.edu,2022-04-29,2022-05-04,rejected,proposer_emailusr007@gt.educounterparty_emailusr208@gt.eduproposer_item_no43counterparty_item_no1566,2022-04-29,2022-05-04
45,1760,usr007@gt.edu,usr236@gt.edu,2022-05-09,NULL,unaccepted,proposer_emailusr007@gt.educounterparty_emailusr236@gt.eduproposer_item_no45counterparty_item_no1760,2022-05-09,NULL
47,3156,usr008@gt.edu,usr421@gt.edu,2022-04-22,NULL,unaccepted,proposer_emailusr008@gt.educounterparty_emailusr421@gt.eduproposer_item_no47counterparty_item_no3156,2022-04-22,NULL
48,1937,usr008@gt.edu,usr260@gt.edu,2022-04-20,2022-04-26,rejected,proposer_emailusr008@gt.educounterparty_emailusr260@gt.eduproposer_item_no48counterparty_item_no1937,2022-04-20,2022-04-26
50,6661,usr008@gt.edu,usr898@gt.edu,2022-05-03,2022-05-16,accepted,proposer_emailusr008@gt.educounterparty_emailusr898@gt.eduproposer_item_no50counterparty_item_no6661,2022-05-03,2022-05-16
51,2618,usr008@gt.edu,usr355@gt.edu,2022-04-26,2022-06-08,accepted,proposer_emailusr008@gt.educounterparty_emailusr355@gt.eduproposer_item_no51counterparty_item_no2618,2022-04-26,2022-06-08
51,5077,usr008@gt.edu,usr683@gt.edu,2022-04-19,2022-04-26,rejected,proposer_emailusr008@gt.educounterparty_emailusr683@gt.eduproposer_item_no51counterparty_item_no5077,2022-04-19,2022-04-26
55,437,usr008@gt.edu,usr059@gt.edu,2022-05-18,2022-06-10,rejected,proposer_emailusr008@gt.educounterparty_emailusr059@gt.eduproposer_item_no55counterparty_item_no437,2022-05-18,2022-06-10
60,5196,usr009@gt.edu,usr702@gt.edu,2022-04-15,2022-05-12,accepted,proposer_emailusr009@gt.educounterparty_emailusr702@gt.eduproposer_item_no60counterparty_item_no5196,2022-04-15,2022-05-12
63,978,usr009@gt.edu,usr132@gt.edu,2022-04-18,2022-05-12,accepted,proposer_emailusr009@gt.educounterparty_emailusr132@gt.eduproposer_item_no63counterparty_item_no978,2022-04-18,2022-05-12
64,1163,usr009@gt.edu,usr157@gt.edu,2022-04-27,NULL,unaccepted,proposer_emailusr009@gt.educounterparty_emailusr157@gt.eduproposer_item_no64counterparty_item_no1163,2022-04-27,NULL
66,3217,usr009@gt.edu,usr431@gt.edu,2022-05-05,2022-05-13,accepted,proposer_emailusr009@gt.educounterparty_emailusr431@gt.eduproposer_item_no66counterparty_item_no3217,2022-05-05,2022-05-13
69,5725,usr010@gt.edu,usr770@gt.edu,2022-05-10,2022-06-01,accepted,proposer_emailusr010@gt.educounterparty_emailusr770@gt.eduproposer_item_no69counterparty_item_no5725,2022-05-10,2022-06-01
74,591,usr010@gt.edu,usr081@gt.edu,2022-04-19,2022-05-02,rejected,proposer_emailusr010@gt.educounterparty_emailusr081@gt.eduproposer_item_no74counterparty_item_no591,2022-04-19,2022-05-02
81,4829,usr011@gt.edu,usr652@gt.edu,2022-04-25,NULL,unaccepted,proposer_emailusr011@gt.educounterparty_emailusr652@gt.eduproposer_item_no81counterparty_item_no4829,2022-04-25,NULL
82,333,usr011@gt.edu,usr048@gt.edu,2022-05-17,NULL,unaccepted,proposer_emailusr011@gt.educounterparty_emailusr048@gt.eduproposer_item_no82counterparty_item_no333,2022-05-17,NULL
85,7209,usr011@gt.edu,usr972@gt.edu,2022-05-10,2022-05-11,accepted,proposer_emailusr011@gt.educounterparty_emailusr972@gt.eduproposer_item_no85counterparty_item_no7209,2022-05-10,2022-05-11
87,624,usr012@gt.edu,usr085@gt.edu,2022-05-12,NULL,unaccepted,proposer_emailusr012@gt.educounterparty_emailusr085@gt.eduproposer_item_no87counterparty_item_no624,2022-05-12,NULL
87,5462,usr012@gt.edu,usr737@gt.edu,2022-04-21,2022-04-22,rejected,proposer_emailusr012@gt.educounterparty_emailusr737@gt.eduproposer_item_no87counterparty_item_no5462,2022-04-21,2022-04-22
90,1271,usr013@gt.edu,usr172@gt.edu,2022-05-03,2022-06-03,accepted,proposer_emailusr013@gt.educounterparty_emailusr172@gt.eduproposer_item_no90counterparty_item_no1271,2022-05-03,2022-06-03
90,2185,usr013@gt.edu,usr294@gt.edu,2022-04-28,2022-05-03,rejected,proposer_emailusr013@gt.educounterparty_emailusr294@gt.eduproposer_item_no90counterparty_item_no2185,2022-04-28,2022-05-03
91,3834,usr013@gt.edu,usr518@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr013@gt.educounterparty_emailusr518@gt.eduproposer_item_no91counterparty_item_no3834,2022-04-15,NULL
92,672,usr013@gt.edu,usr090@gt.edu,2022-04-27,2022-05-23,accepted,proposer_emailusr013@gt.educounterparty_emailusr090@gt.eduproposer_item_no92counterparty_item_no672,2022-04-27,2022-05-23
96,4064,usr014@gt.edu,usr549@gt.edu,2022-05-16,2022-05-17,accepted,proposer_emailusr014@gt.educounterparty_emailusr549@gt.eduproposer_item_no96counterparty_item_no4064,2022-05-16,2022-05-17
98,1008,usr014@gt.edu,usr136@gt.edu,2022-05-26,2022-06-02,accepted,proposer_emailusr014@gt.educounterparty_emailusr136@gt.eduproposer_item_no98counterparty_item_no1008,2022-05-26,2022-06-02
99,5752,usr014@gt.edu,usr773@gt.edu,2022-05-27,NULL,unaccepted,proposer_emailusr014@gt.educounterparty_emailusr773@gt.eduproposer_item_no99counterparty_item_no5752,2022-05-27,NULL
101,4078,usr014@gt.edu,usr551@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr014@gt.educounterparty_emailusr551@gt.eduproposer_item_no101counterparty_item_no4078,2022-04-15,NULL
104,5330,usr014@gt.edu,usr721@gt.edu,2022-04-21,2022-05-16,rejected,proposer_emailusr014@gt.educounterparty_emailusr721@gt.eduproposer_item_no104counterparty_item_no5330,2022-04-21,2022-05-16
112,2456,usr015@gt.edu,usr333@gt.edu,2022-04-19,2022-05-26,accepted,proposer_emailusr015@gt.educounterparty_emailusr333@gt.eduproposer_item_no112counterparty_item_no2456,2022-04-19,2022-05-26
113,1764,usr015@gt.edu,usr236@gt.edu,2022-04-18,2022-05-24,accepted,proposer_emailusr015@gt.educounterparty_emailusr236@gt.eduproposer_item_no113counterparty_item_no1764,2022-04-18,2022-05-24
115,4195,usr016@gt.edu,usr566@gt.edu,2022-04-15,2022-05-03,accepted,proposer_emailusr016@gt.educounterparty_emailusr566@gt.eduproposer_item_no115counterparty_item_no4195,2022-04-15,2022-05-03
116,5288,usr016@gt.edu,usr714@gt.edu,2022-04-28,2022-05-06,accepted,proposer_emailusr016@gt.educounterparty_emailusr714@gt.eduproposer_item_no116counterparty_item_no5288,2022-04-28,2022-05-06
117,2407,usr016@gt.edu,usr325@gt.edu,2022-06-07,NULL,unaccepted,proposer_emailusr016@gt.educounterparty_emailusr325@gt.eduproposer_item_no117counterparty_item_no2407,2022-06-07,NULL
119,33,usr016@gt.edu,usr006@gt.edu,2022-05-02,2022-05-10,rejected,proposer_emailusr016@gt.educounterparty_emailusr006@gt.eduproposer_item_no119counterparty_item_no33,2022-05-02,2022-05-10
119,6339,usr016@gt.edu,usr853@gt.edu,2022-06-02,NULL,unaccepted,proposer_emailusr016@gt.educounterparty_emailusr853@gt.eduproposer_item_no119counterparty_item_no6339,2022-06-02,NULL
120,2224,usr017@gt.edu,usr299@gt.edu,2022-04-29,2022-06-14,accepted,proposer_emailusr017@gt.educounterparty_emailusr299@gt.eduproposer_item_no120counterparty_item_no2224,2022-04-29,2022-06-14
122,835,usr017@gt.edu,usr110@gt.edu,2022-04-19,2022-05-02,accepted,proposer_emailusr017@gt.educounterparty_emailusr110@gt.eduproposer_item_no122counterparty_item_no835,2022-04-19,2022-05-02
123,6861,usr017@gt.edu,usr927@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr017@gt.educounterparty_emailusr927@gt.eduproposer_item_no123counterparty_item_no6861,2022-04-15,NULL
124,698,usr017@gt.edu,usr093@gt.edu,2022-04-28,2022-05-20,accepted,proposer_emailusr017@gt.educounterparty_emailusr093@gt.eduproposer_item_no124counterparty_item_no698,2022-04-28,2022-05-20
126,277,usr018@gt.edu,usr040@gt.edu,2022-05-09,2022-05-10,rejected,proposer_emailusr018@gt.educounterparty_emailusr040@gt.eduproposer_item_no126counterparty_item_no277,2022-05-09,2022-05-10
129,2687,usr018@gt.edu,usr362@gt.edu,2022-06-02,NULL,unaccepted,proposer_emailusr018@gt.educounterparty_emailusr362@gt.eduproposer_item_no129counterparty_item_no2687,2022-06-02,NULL
130,4205,usr018@gt.edu,usr569@gt.edu,2022-04-20,2022-04-25,accepted,proposer_emailusr018@gt.educounterparty_emailusr569@gt.eduproposer_item_no130counterparty_item_no4205,2022-04-20,2022-04-25
132,4798,usr018@gt.edu,usr648@gt.edu,2022-05-31,NULL,unaccepted,proposer_emailusr018@gt.educounterparty_emailusr648@gt.eduproposer_item_no132counterparty_item_no4798,2022-05-31,NULL
135,3182,usr018@gt.edu,usr427@gt.edu,2022-04-15,2022-06-02,accepted,proposer_emailusr018@gt.educounterparty_emailusr427@gt.eduproposer_item_no135counterparty_item_no3182,2022-04-15,2022-06-02
136,5062,usr019@gt.edu,usr682@gt.edu,2022-04-29,2022-05-23,accepted,proposer_emailusr019@gt.educounterparty_emailusr682@gt.eduproposer_item_no136counterparty_item_no5062,2022-04-29,2022-05-23
136,6521,usr019@gt.edu,usr879@gt.edu,2022-04-19,2022-04-26,rejected,proposer_emailusr019@gt.educounterparty_emailusr879@gt.eduproposer_item_no136counterparty_item_no6521,2022-04-19,2022-04-26
137,92,usr019@gt.edu,usr013@gt.edu,2022-04-18,2022-04-27,rejected,proposer_emailusr019@gt.educounterparty_emailusr013@gt.eduproposer_item_no137counterparty_item_no92,2022-04-18,2022-04-27
137,2188,usr019@gt.edu,usr294@gt.edu,2022-04-28,2022-06-08,accepted,proposer_emailusr019@gt.educounterparty_emailusr294@gt.eduproposer_item_no137counterparty_item_no2188,2022-04-28,2022-06-08
138,83,usr019@gt.edu,usr011@gt.edu,2022-04-26,2022-05-24,accepted,proposer_emailusr019@gt.educounterparty_emailusr011@gt.eduproposer_item_no138counterparty_item_no83,2022-04-26,2022-05-24
139,3781,usr020@gt.edu,usr512@gt.edu,2022-04-26,2022-04-28,accepted,proposer_emailusr020@gt.educounterparty_emailusr512@gt.eduproposer_item_no139counterparty_item_no3781,2022-04-26,2022-04-28
141,2519,usr020@gt.edu,usr340@gt.edu,2022-04-21,2022-06-08,rejected,proposer_emailusr020@gt.educounterparty_emailusr340@gt.eduproposer_item_no141counterparty_item_no2519,2022-04-21,2022-06-08
143,2840,usr021@gt.edu,usr382@gt.edu,2022-05-31,2022-06-07,accepted,proposer_emailusr021@gt.educounterparty_emailusr382@gt.eduproposer_item_no143counterparty_item_no2840,2022-05-31,2022-06-07
146,6786,usr021@gt.edu,usr916@gt.edu,2022-04-25,2022-06-14,accepted,proposer_emailusr021@gt.educounterparty_emailusr916@gt.eduproposer_item_no146counterparty_item_no6786,2022-04-25,2022-06-14
150,1935,usr022@gt.edu,usr259@gt.edu,2022-04-21,2022-05-19,accepted,proposer_emailusr022@gt.educounterparty_emailusr259@gt.eduproposer_item_no150counterparty_item_no1935,2022-04-21,2022-05-19
151,3067,usr022@gt.edu,usr409@gt.edu,2022-04-25,2022-05-11,accepted,proposer_emailusr022@gt.educounterparty_emailusr409@gt.eduproposer_item_no151counterparty_item_no3067,2022-04-25,2022-05-11
154,6333,usr023@gt.edu,usr852@gt.edu,2022-04-15,2022-04-25,accepted,proposer_emailusr023@gt.educounterparty_emailusr852@gt.eduproposer_item_no154counterparty_item_no6333,2022-04-15,2022-04-25
158,2204,usr024@gt.edu,usr297@gt.edu,2022-05-05,2022-05-25,accepted,proposer_emailusr024@gt.educounterparty_emailusr297@gt.eduproposer_item_no158counterparty_item_no2204,2022-05-05,2022-05-25
161,5669,usr024@gt.edu,usr762@gt.edu,2022-04-20,2022-05-12,accepted,proposer_emailusr024@gt.educounterparty_emailusr762@gt.eduproposer_item_no161counterparty_item_no5669,2022-04-20,2022-05-12
163,4981,usr024@gt.edu,usr673@gt.edu,2022-05-10,2022-05-18,rejected,proposer_emailusr024@gt.educounterparty_emailusr673@gt.eduproposer_item_no163counterparty_item_no4981,2022-05-10,2022-05-18
167,5386,usr024@gt.edu,usr727@gt.edu,2022-04-22,2022-04-25,rejected,proposer_emailusr024@gt.educounterparty_emailusr727@gt.eduproposer_item_no167counterparty_item_no5386,2022-04-22,2022-04-25
170,2809,usr025@gt.edu,usr378@gt.edu,2022-04-20,2022-05-05,accepted,proposer_emailusr025@gt.educounterparty_emailusr378@gt.eduproposer_item_no170counterparty_item_no2809,2022-04-20,2022-05-05
171,2768,usr025@gt.edu,usr372@gt.edu,2022-04-25,2022-06-08,rejected,proposer_emailusr025@gt.educounterparty_emailusr372@gt.eduproposer_item_no171counterparty_item_no2768,2022-04-25,2022-06-08
