item_number,email,platform,media
1,usr001@gt.edu,Nintendo,Optical disc
7,usr002@gt.edu,Xbox,Optical disc
9,usr002@gt.edu,PlayStation,Optical disc
11,usr003@gt.edu,Xbox,Optical disc
14,usr003@gt.edu,Xbox,Optical disc
19,usr005@gt.edu,Nintendo,Optical disc
20,usr005@gt.edu,Xbox,Optical disc
21,usr005@gt.edu,Nintendo,Game card
22,usr005@gt.edu,Xbox,Optical disc
28,usr006@gt.edu,PlayStation,Cartridge
32,usr006@gt.edu,Xbox,Optical disc
33,usr006@gt.edu,Xbox,Optical disc
34,usr006@gt.edu,PlayStation,Game card
36,usr006@gt.edu,PlayStation,Optical disc
38,usr007@gt.edu,Xbox,Game card
42,usr007@gt.edu,Xbox,Optical disc
45,usr007@gt.edu,PlayStation,Game card
49,usr008@gt.edu,Xbox,Cartridge
50,usr008@gt.edu,Xbox,Optical disc
51,usr008@gt.edu,Nintendo,Game card
52,usr008@gt.edu,PlayStation,Optical disc
55,usr008@gt.edu,PlayStation,Optical disc
57,usr008@gt.edu,Xbox,Optical disc
61,usr009@gt.edu,Nintendo,Game card
63,usr009@gt.edu,Xbox,Optical disc
65,usr009@gt.edu,Xbox,Cartridge
66,usr009@gt.edu,Xbox,Game card
67,usr009@gt.edu,PlayStation,Game card
68,usr009@gt.edu,Xbox,Cartridge
69,usr010@gt.edu,Nintendo,Cartridge
74,usr010@gt.edu,PlayStation,Game card
75,usr010@gt.edu,PlayStation,Optical disc
77,usr011@gt.edu,Xbox,Game card
80,usr011@gt.edu,PlayStation,Cartridge
81,usr011@gt.edu,Nintendo,Optical disc
86,usr011@gt.edu,Nintendo,Optical disc
88,usr012@gt.edu,PlayStation,Cartridge
90,usr013@gt.edu,Xbox,Optical disc
93,usr013@gt.edu,Nintendo,Game card
98,usr014@gt.edu,PlayStation,Cartridge
100,usr014@gt.edu,Nintendo,Cartridge
106,usr015@gt.edu,Xbox,Optical disc
108,usr015@gt.edu,Xbox,Game card
109,usr015@gt.edu,Nintendo,Cartridge
114,usr016@gt.edu,Xbox,Game card
115,usr016@gt.edu,PlayStation,Cartridge
116,usr016@gt.edu,Nintendo,Game card
118,usr016@gt.edu,Xbox,Game card
120,usr017@gt.edu,PlayStation,Game card
122,usr017@gt.edu,Nintendo,Cartridge
124,usr017@gt.edu,Xbox,Optical disc
127,usr018@gt.edu,Nintendo,Game card
131,usr018@gt.edu,PlayStation,Cartridge
132,usr018@gt.edu,Xbox,Cartridge
134,usr018@gt.edu,Xbox,Cartridge
141,usr020@gt.edu,Xbox,Cartridge
142,usr021@gt.edu,Xbox,Game card
146,usr021@gt.edu,Nintendo,Game card
148,usr021@gt.edu,PlayStation,Cartridge
152,usr022@gt.edu,PlayStation,Optical disc
160,usr024@gt.edu,PlayStation,Game card
161,usr024@gt.edu,Xbox,Cartridge
162,usr024@gt.edu,Xbox,Optical disc
168,usr024@gt.edu,Xbox,Optical disc
169,usr025@gt.edu,Xbox,Cartridge
170,usr025@gt.edu,PlayStation,Optical disc
171,usr025@gt.edu,Nintendo,Cartridge
176,usr026@gt.edu,PlayStation,Cartridge
178,usr026@gt.edu,Nintendo,Cartridge
182,usr027@gt.edu,Nintendo,Game card
184,usr027@gt.edu,PlayStation,Optical disc
193,usr029@gt.edu,Nintendo,Optical disc
196,usr029@gt.edu,Nintendo,Optical disc
197,usr029@gt.edu,Nintendo,Cartridge
199,usr030@gt.edu,PlayStation,Cartridge
204,usr030@gt.edu,Xbox,Cartridge
207,usr031@gt.edu,Xbox,Cartridge
208,usr031@gt.edu,PlayStation,Cartridge
209,usr031@gt.edu,Nintendo,Cartridge
211,usr031@gt.edu,Nintendo,Optical disc
212,usr031@gt.edu,Nintendo,Cartridge
213,usr031@gt.edu,Nintendo,Game card
214,usr031@gt.edu,PlayStation,Cartridge
217,usr031@gt.edu,PlayStation,Optical disc
223,usr033@gt.edu,Xbox,Game card
226,usr034@gt.edu,PlayStation,Cartridge
235,usr035@gt.edu,Xbox,Cartridge
237,usr035@gt.edu,Nintendo,Optical disc
239,usr035@gt.edu,PlayStation,Optical disc
248,usr036@gt.edu,PlayStation,Game card
258,usr038@gt.edu,Nintendo,Optical disc
260,usr038@gt.edu,PlayStation,Game card
261,usr038@gt.edu,Xbox,Cartridge
265,usr039@gt.edu,Xbox,Optical disc
270,usr039@gt.edu,Xbox,Optical disc
271,usr039@gt.edu,PlayStation,Cartridge
276,usr040@gt.edu,Xbox,Game card
288,usr042@gt.edu,PlayStation,Cartridge
289,usr042@gt.edu,PlayStation,Optical disc
290,usr042@gt.edu,Xbox,Game card
294,usr043@gt.edu,PlayStation,Game card
296,usr043@gt.edu,Nintendo,Cartridge
