item_number,email
2,usr001@gt.edu
23,usr005@gt.edu
47,usr008@gt.edu
53,usr008@gt.edu
107,usr015@gt.edu
133,usr018@gt.edu
153,usr023@gt.edu
154,usr023@gt.edu
183,usr027@gt.edu
190,usr028@gt.edu
198,usr030@gt.edu
251,usr037@gt.edu
253,usr037@gt.edu
266,usr039@gt.edu
347,usr049@gt.edu
350,usr049@gt.edu
368,usr052@gt.edu
384,usr053@gt.edu
399,usr055@gt.edu
422,usr057@gt.edu
435,usr059@gt.edu
447,usr060@gt.edu
460,usr063@gt.edu
463,usr063@gt.edu
516,usr070@gt.edu
530,usr073@gt.edu
555,usr078@gt.edu
566,usr079@gt.edu
571,usr079@gt.edu
606,usr083@gt.edu
638,usr086@gt.edu
642,usr087@gt.edu
734,usr096@gt.edu
746,usr097@gt.edu
765,usr101@gt.edu
782,usr103@gt.edu
876,usr116@gt.edu
889,usr118@gt.edu
912,usr121@gt.edu
944,usr127@gt.edu
961,usr129@gt.edu
983,usr132@gt.edu
1006,usr135@gt.edu
1028,usr139@gt.edu
1065,usr145@gt.edu
1078,usr146@gt.edu
1190,usr160@gt.edu
1221,usr164@gt.edu
1230,usr165@gt.edu
1266,usr171@gt.edu
1291,usr175@gt.edu
1310,usr178@gt.edu
1335,usr181@gt.edu
1342,usr182@gt.edu
1347,usr182@gt.edu
1432,usr193@gt.edu
1445,usr194@gt.edu
1528,usr204@gt.edu
1539,usr205@gt.edu
1549,usr206@gt.edu
1562,usr208@gt.edu
1647,usr218@gt.edu
1682,usr222@gt.edu
1732,usr231@gt.edu
1762,usr236@gt.edu
1841,usr246@gt.edu
1857,usr248@gt.edu
1882,usr252@gt.edu
1899,usr254@gt.edu
1908,usr255@gt.edu
1919,usr257@gt.edu
1962,usr263@gt.edu
2003,usr269@gt.edu
2011,usr270@gt.edu
2067,usr276@gt.edu
2131,usr285@gt.edu
2190,usr294@gt.edu
2218,usr298@gt.edu
2235,usr301@gt.edu
2246,usr302@gt.edu
2280,usr308@gt.edu
2298,usr311@gt.edu
2310,usr313@gt.edu
2352,usr317@gt.edu
2379,usr320@gt.edu
2392,usr322@gt.edu
2406,usr325@gt.edu
2429,usr328@gt.edu
2446,usr331@gt.edu
2461,usr334@gt.edu
2472,usr335@gt.edu
2486,usr337@gt.edu
2546,usr344@gt.edu
2555,usr345@gt.edu
2568,usr348@gt.edu
2624,usr355@gt.edu
2633,usr356@gt.edu
2656,usr359@gt.edu
2664,usr360@gt.edu
2667,usr360@gt.edu
2701,usr364@gt.edu
2733,usr369@gt.edu
2743,usr370@gt.edu
2764,usr372@gt.edu
2775,usr373@gt.edu
2799,usr376@gt.edu
2802,usr377@gt.edu
2858,usr384@gt.edu
2921,usr391@gt.edu
2941,usr393@gt.edu
2975,usr397@gt.edu
2992,usr399@gt.edu
3000,usr401@gt.edu
3022,usr403@gt.edu
